t,vx_mm_s,vy_mm_s,wz_rad_s,velocity_mm_s,direction_deg,is_rotation_only,rpm_ref_M1,rpm_ref_M2,rpm_ref_M3,rpm_ref_M4,rpm_meas_M1,rpm_meas_M2,rpm_meas_M3,rpm_meas_M4,err_M1,err_M2,err_M3,err_M4,p_M1,p_M2,p_M3,p_M4,i_M1,i_M2,i_M3,i_M4,motor_sign_M1,motor_sign_M2,motor_sign_M3,motor_sign_M4,duty_ol_base_M1,duty_ol_base_M2,duty_ol_base_M3,duty_ol_base_M4,duty_pi_M1,duty_pi_M2,duty_pi_M3,duty_pi_M4
1783308228.8655722,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.8856506,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.9056034,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0
1783308228.925654,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.0,0.0,-0.0,0.0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.5993502514628637,3.5993502514628637,3.5993502514628637,3.5993502514628637,0.09255472075190221,0.09255472075190221,0.09255472075190221,0.09255472075190221,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308228.9456537,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.0,0.0,-0.0,0.0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.5993502514628637,3.5993502514628637,3.5993502514628637,3.5993502514628637,0.18510944150380443,0.18510944150380443,0.18510944150380443,0.18510944150380443,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308228.9656003,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.0,0.0,-0.0,0.0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,3.5993502514628637,3.5993502514628637,3.5993502514628637,3.5993502514628637,0.27766416225570667,0.27766416225570667,0.27766416225570667,0.27766416225570667,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308228.985655,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.23000000417232513,0.0,0.23000000417232513,0.0,10.053857857150144,10.283857861322469,10.053857857150144,10.283857861322469,3.51885025000255,3.5993502514628637,3.51885025000255,3.5993502514628637,0.368148882970058,0.37021888300760886,0.368148882970058,0.37021888300760886,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.0057008,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.23000000417232513,0.0,0.23000000417232513,0.0,10.053857857150144,10.283857861322469,10.053857857150144,10.283857861322469,3.51885025000255,3.5993502514628637,3.51885025000255,3.5993502514628637,0.4586336036844093,0.46277360375951104,0.4586336036844093,0.46277360375951104,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.0255833,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.23000000417232513,0.0,0.23000000417232513,0.0,10.053857857150144,10.283857861322469,10.053857857150144,10.283857861322469,3.51885025000255,3.5993502514628637,3.51885025000255,3.5993502514628637,0.5491183243987606,0.5553283245114132,0.5491183243987606,0.5553283245114132,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.0456991,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.6100000143051147,0.6800000071525574,0.3799999952316284,0.44999998807907104,9.673857847017354,9.603857854169911,9.90385786609084,9.833857873243398,3.385850246456074,3.361350248959469,3.466350253131794,3.441850255635189,0.6361830450219168,0.6417630451989425,0.6382530451935782,0.6438330453706038,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.0656095,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.6100000143051147,0.6800000071525574,0.3799999952316284,0.44999998807907104,9.673857847017354,9.603857854169911,9.90385786609084,9.833857873243398,3.385850246456074,3.361350248959469,3.466350253131794,3.441850255635189,0.723247765645073,0.7281977658864717,0.7273877659883957,0.7323377662297944,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.0857499,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.8799999952316284,0.9300000071525574,0.7200000286102295,0.5400000214576721,9.40385786609084,9.353857854169911,9.56385783271224,9.743857839864797,3.2913502531317937,3.273850248959469,3.3473502414492837,3.4103502439526787,0.8078824864398906,0.8123824865740009,0.8134624864828058,0.8200324867885775,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.1056132,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.8799999952316284,0.9300000071525574,0.7200000286102295,0.5400000214576721,9.40385786609084,9.353857854169911,9.56385783271224,9.743857839864797,3.2913502531317937,3.273850248959469,3.3473502414492837,3.4103502439526787,0.8925172072347082,0.8965672072615302,0.899537206977216,0.9077272073473607,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.1256661,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,0.8799999952316284,0.9300000071525574,0.7200000286102295,0.5400000214576721,9.40385786609084,9.353857854169911,9.56385783271224,9.743857839864797,3.2913502531317937,3.273850248959469,3.3473502414492837,3.4103502439526787,0.9771519280295258,0.9807519279490594,0.9856119274716261,0.9954219279061438,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.1456091,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,1.0700000524520874,1.100000023841858,0.9599999785423279,1.059999942779541,9.213857808870381,9.18385783748061,9.32385788278014,9.223857918542928,3.2248502331046334,3.2143502431182136,3.263350258973049,3.2283502714900245,1.060076648309359,1.0634066484863849,1.0695266484166472,1.0784366491730302,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.1655917,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,1.0700000524520874,1.100000023841858,0.9599999785423279,1.059999942779541,9.213857808870381,9.18385783748061,9.32385788278014,9.223857918542928,3.2248502331046334,3.2143502431182136,3.263350258973049,3.2283502714900245,1.1430013685891924,1.1460613690237105,1.1534413693616685,1.1614513704399165,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
1783308229.1857817,35.0,0.0,0.0,35.0,0.0,0,10.283857861322469,10.283857861322469,10.283857861322469,10.283857861322469,1.2000000476837158,1.4500000476837158,1.1200000047683716,1.190000057220459,9.083857813638753,8.833857813638753,9.163857856554097,9.09385780410201,3.179350234773563,3.0918502347735632,3.207350249793934,3.1828502314357032,1.224756088911941,1.2255660893464593,1.2359160900706554,1.2432960906768347,-1,1,-1,1,-13,13,-13,13,-17,17,-17,17
